Date,Open,High,Low,Close,Adj Close,Volume
2018-01-08,228.130005,228.710007,224.610001,224.759995,217.140701,2850800
2018-01-09,224.759995,226.630005,223.300003,225.880005,218.222748,2672200
2018-01-10,224.830002,225.009995,223.029999,224.199997,216.599701,2311600
2018-01-11,224.179993,225.919998,223.699997,225.389999,217.749359,2543600
2018-01-12,227.449997,229.899994,226.520004,228.639999,220.889191,3943800
2018-01-16,233.369995,235.000000,231.250000,232.899994,225.004776,6852600
2018-01-17,234.669998,238.960007,233.850006,238.429993,230.347290,5124800
2018-01-18,239.259995,243.899994,238.550003,243.160004,234.916992,6234200
2018-01-19,244.179993,244.350006,241.070007,243.350006,235.100555,4293600
2018-01-22,243.589996,243.800003,241.360001,243.559998,235.303406,4012200
2018-01-23,242.990005,246.979996,242.410004,245.210007,236.897476,3300000
2018-01-24,246.009995,247.309998,243.710007,244.850006,236.549667,2733300
2018-01-25,244.750000,246.190002,243.899994,245.179993,236.868500,2420500
2018-01-26,245.000000,248.740005,244.460007,248.470001,240.046967,2615300
2018-01-29,249.279999,250.789993,247.399994,247.410004,239.022934,2564700
2018-01-30,232.880005,242.740005,232.100006,236.649994,228.627640,11565500
2018-01-31,242.839996,247.000000,235.759995,236.779999,228.753265,5187400
2018-02-01,235.259995,237.820007,233.830002,235.220001,227.246124,4268300
2018-02-02,233.000000,236.300003,231.190002,231.880005,224.019379,3959900
2018-02-05,230.789993,233.110001,208.479996,220.020004,212.561386,6290000
2018-02-06,212.199997,226.509995,210.210007,225.179993,217.546463,7064800
2018-02-07,222.330002,229.289993,221.509995,225.820007,218.164810,5589200
2018-02-08,225.330002,226.630005,216.259995,216.460007,209.122086,4902400
2018-02-09,218.000000,223.279999,212.009995,220.960007,213.469543,6225300
2018-02-12,222.440002,228.000000,222.149994,225.690002,218.039200,4912000
2018-02-13,223.149994,227.119995,222.389999,226.639999,218.956985,3536800
2018-02-14,224.949997,229.339996,223.919998,228.779999,221.024460,2878400
2018-02-15,229.270004,230.000000,221.740005,226.020004,218.358002,4662700
2018-02-16,225.990005,230.550003,225.699997,229.369995,221.594437,3621700
2018-02-20,227.910004,228.750000,225.610001,226.660004,218.976318,3172300
2018-02-21,226.149994,229.350006,225.110001,225.130005,217.498184,3371900
2018-02-22,226.300003,229.839996,225.080002,227.089996,219.391724,2767900
2018-02-23,227.899994,230.320007,225.910004,230.160004,222.357666,2393900
2018-02-26,231.639999,234.509995,229.699997,234.059998,226.125458,3307000
2018-02-27,234.399994,235.889999,232.440002,232.520004,224.637680,2899500
2018-02-28,234.419998,234.750000,226.089996,226.160004,218.493271,4368600
2018-03-01,225.699997,229.289993,222.740005,224.449997,216.841232,3514600
2018-03-02,223.210007,225.820007,222.589996,225.190002,217.556152,2613600
2018-03-05,223.369995,229.429993,222.789993,228.380005,220.638016,2627300
2018-03-06,228.919998,229.149994,223.889999,226.179993,218.512573,2652800
2018-03-07,224.350006,227.820007,223.750000,227.270004,219.565613,3242200
2018-03-08,227.929993,227.990005,223.919998,224.729996,217.830582,3500900
2018-03-09,226.110001,226.520004,222.500000,225.429993,218.509079,4834600
2018-03-12,226.210007,227.000000,222.770004,222.770004,215.930740,3117300
2018-03-13,223.529999,228.059998,223.160004,226.940002,219.972748,3343800
2018-03-14,227.130005,229.389999,225.020004,225.380005,218.460632,3048200
2018-03-15,225.830002,230.759995,225.660004,229.479996,222.434769,3330200
2018-03-16,229.660004,231.270004,227.750000,227.860001,220.864487,5690300
